1.00,Ilocos Norte
2.00,Kalinga-Apayao
3.00,Cagayan
4.00,Ilocos Sur
5.00,Abra
6.00,Mountain Province?(Baguio)
7.00,Ifugao
8.00,Isabela
9.00,La Union
10.00,Tarlac
11.00,Nueva Vizcaya
12.00,Quirino
13.00,Pangasinan
14.00,Tarlac
15.00,Nueva Ecija
16.00,Aurora
17.00,Zambales
18.00,Pampanga
19.00,Bulacan
20.00,Bataan
21.00,Metro Manila
22.00,Rizal
23.00,Cavite
24.00,Laguna
25.00,Batangas
26.00,Quezon
27.00,Camarines Norte
28.00,Camarines Sur
29.00,Catanduanes
30.00,Albay
31.00,Sorsogon
32.00,Occidental Mindoro
33.00,Oriental Mindoro
34.00,Marinduque Island
35.00,Romblon Island
36.00,Masbate Island
37.00,Northern Samar
38.00,Western Samar
39.00,Eastern Samar
40.00,Palawan Islands
41.00,Antique
42.00,Aklan (Boracay)
43.00,Capiz
44.00,Iloilo
45.00,Negros Occidental
46.00,Negros Oriental
47.00,Cebu Island
48.00,Bohol Island
49.00,Leyte
50.00,Southern Leyte
51.00,Surigao del Norte
52.00,Agusan del Norte
53.00,Surigao del Sur
54.00,Zamboanga del Norte
55.00,Misamis Occidental
56.00,Zamboanga del Sur
57.00,Lanao del Norte
58.00,Misamis Oriental
59.00,Agusan del Sur
60.00,Lanao del Sur
61.00,Bukidnon
62.00,Davao del Norte
63.00,Davao Oriental
64.00,Maguindanao
65.00,North Cotabato
66.00,Davao del Sur
67.00,Sultan Kudarat
68.00,South Cotabato
69.00,Basilan Islands
70.00,Sulu Islands
71.00,Tawi-Tawi Islands
